,message,Polarite
560,A tun ban kɔnɔ ko i ɲinɛnan koyi. An y'i ka sufɛ foli laminɛ,1
561,Okera,1
562,Madou sissoko borôn,1
563,"An baa ,kɔri basi t'i la?",0
564,Allah ka dayoro Soumaya,1
565,Allah la hinai ala,-1
566,Ala ka bon,1
567,Allah Kâ hiné fure la,-1
568,À la ka hine,-1
569,Allah la.hineala.att,-1
570,Amina yarabi,1
571,Alla ka yafa  ma,-1
572,Inna lilahi wa inna illahi radjioun  Que la terre lui soit légère ,-1
573,Amina,1
574,Allah ka hina la.,-1
575,Allah ka hine a la ka jigin Yoro ben aljana ma ,-1
576,Allá ka hine allá,-1
577,Allahou-Akbar,0
578,Allah ka hinè a la,-1
579,Allah ka hine a la  ka dayoro nema Amina,-1
580,Ala ka hinɛ a la,-1
581,Rip,-1
582,Allah ka hinne la Allah ka yafaama,-1
583,Ala ka hine ala🙏🙏🙏,-1
584,Allah ka ya fa aman,-1
585,Allan ka hinè a la,-1
586,Ala ka hinɛ a la! 😭😭😭😭😭,-1
587,Ala kahine,-1
588,Amina ya arabi,1
589,Allah ka hinɛ a la.,-1
590,Ala.ka.sine.ala,1
591,Rip,-1
592,Allah ka hine ala ka dayorissoumaya,-1
593,Ala ka daa yoro sumaya,-1
595,Ala ka hinE a la ,-1
597,Amina,1
599,Rip,-1
600,Ala ka hine a la,-1
601,Inna lilahi wa lnna li radjioun coulina  ousi ja ïka  tou ma outi Toute mes condoléances à la famille Touré et tout les peuples Malien ,-1
603,Rip,-1
606,Aw ni sôgôma kô ni basité aw la à la kahér ké an ye,1
607,Ô kâgnī,1
608,Ka daka Soumaila Cissé bè ma millions djo yoro là mali kono,-1
609,"Ka mogo, ni kisin, ofemeye, belebeleye, halida, Oma, ne, bolo ake togognena.",-1
610,"Nisɔdiya kow! Dusu kasi kow! Kɔnɔgan kow !  Né Nisɔdiyara Sumayila Cise ka labilali la, a tun ɲɛnafi ban na!  Né dusu kasilendo, jihadikɛla nunu ka labilali la! Sabula, Nunu ce kelen kelen bɛ minɛ na Malidenw joli bɔni la!  U ka baara yé mɔgɔ faga yé, dugu jeni , muso , demisin, hali suman, fosi ti tô,!  Ka o ce 230 labila sɔgɔmada kelen, hadamaden kelen kama haali ni o ye Sumayila yé, ne ma Nisɔdiya ni kow na fiyeu !!  Ni Ce 230 yé  balawu yé Maliden bahirika ka jiɲɛ labɔ ma ! Dɔ farala anw Malidenw ka Siran, kɔnɔgan, ani anw ka jawili kan !!  Anw ka lakana masé ka ɲɛnabɔ anw ka Armée fɛ fɔlɔ, ni Ɲɛmaa kuraw yé dɔ fara jihadikɛlaw hakɛ kan, An bɛ t'anw ko mi? Ka t'anw ja mi ???  Allah ka Malidenw kisi !!! ",1
611,Kamu bana pewu Gaoussou i y'a bè fô. ima nôgô foyi t'ola kuma gnèma,-1
612,I ni ce!   Karamɔgɔ,1
613,Amina.ala ka dugawu mine,1
614,A nana wa?,0
615, Bi ta yé tigne wa ? ,0
616,Basitéya kalaba coro badala,1
617,Umbah aw ni sɔkɔma ala ka jamana diya ala ka anw bɛn kelen ma,1
618,"Anh bah, toro si tai an na. Soumaila ko kibarou de ne.",1
619,Anw bi Allah tanu ALLAH ka tile here di anbeema,1
620,Waye aw sira herela kibaruya mini beye wuye bamanaka sikinide bente neka téléphone n'a,1
621,"Ambaah, a k3ra la fila ye",0
622,Seydou Traore Amina arabi ala ka duaw minɛ,1
623,Aw ka page kadi n'ye kojugu,1
624,mali kɛ diya dɔrɔ,1
625,Seyidou gèn ni kagni ni gnèmôgô magni.,-1
626,Tine,1
627,I ni ce i ka nin kɔrɔfɔ la. Ne ye famuyali caman sɔrɔ a la.,1
628,"Kuma ɲana !!  N'ga haalibi, ni walew bɛ sɔrɔ du kelen kelenw  kɔnɔ, Haalini a man can !!  Ni walé nunuw   yé anw ka Mande jamanaw danbe jɔ sen belebele yé !!! ",1
629,Anw tunun la dè,-1
630,"Bi Bangebagaw ka saliya, u Ka bolo jigi maara ani den ladamu la,  Ka  fara o kan, jabarani, simartifoni,  bɔlɔlɔ ani jiɲɛ sariya kura no yé mondialisation yé, Ninun bɛ nana An ka bi maara  gɛlɛya anw bolo farafina Danbe kɔnɔ!  Ne bɛ n'yɛrɛ ɲininga, yaala   anw na se  ka ɲemaw sɔrɔ, ɲɛmaw munu bɛ na ni jiɲɛlaban fɛn Ninun  latilen ka dan sigi u kɔlɔlɔ la wa ???",-1
631,Hali sisa anw ga dun kɔnɔ anbɛɛ bɛ dumuni kɛ file kèlè kɔnɔ ŋa ni tagara dugubaw kɔnɔ Olu de tɛ dumuni kɛ file kèlè kɔnɔ sabula danbe la gosira dugubaw de kɔnɔ anw fɛ togodala anw bɛ anka Soni kɛ akɛ cogola wa ŋa ka fɔ aw fana ko ɲɛman kotɛ ni kô in ye dɛ sabula mara nɛ damina guwa de kɔnɔ ka sôrô kana dun kɔnɔ kana dugu kɔnɔ ka sôrô kana jamana kɔnɔ wa ni mɔgɔ ni mara min bɔra ika dun kɔnɔ ini odebɛna jamana kɔnɔ ka aw foo ka fɔ ko aw ni wati faso deɲumaɲala,-1
632,Bɛ kɛra ŋanamu ŋanamu kɛlaye bɛ ko nɛ ta nɛta odeye kow bɛ tiɲɛ,-1
633,ika bi kunafɔni faamuna kɔsɛbɛ bamanankan nka farafinɲa bɛna tiɲɛ ka t'afɛ bawɔ tabɔlɔ kɛlɛn tɛ mɔgɔ o mɔgɔ la ɔka mɔgɔya tɛsɛ ka yiriwa anw farafinw kɔ arabuya anw kɔ tubabuya anw kɔ farafinɲa ibɛ jiɲɛ dɔ dɛ kɔ dɛ anw farafinw kɔ arabuya ani tubabuya farafinɲa bana anw tɛ na kɛ an  yɛrɛ tuguni kabakɔ farafinɲa kɛra farafinw ma malɔya yɛ kuma bana fɛn wɛrɛ tɛ yɛ,-1
634,Ecran Niagane Tiakadugu Karata ɲakanɛ karata i kumana kuma kaɲi kɔsɛbɛ tabɔlɔ kɔrɔw bɛ karata alsa nka  jantɔ yɛrɛ la kaɲi nɔtɛ arabuya in bɛna cama dabila dɛ,-1
635,"Samu aleyikum bamanankan mɔgɔw, Alihamudu lilAAhi ! Kumaw ɲɛ kosɛbɛ 👏👏",1
636,"Babu ɲɛna,bamana danbe kɔrɔw bina ,maloya banan, bonɲa banan ,hɔrɔnɲa banan, bi sera anw mako tɛ kɔrɔlen na tuguni wa shinin bi kɛ cogo di? Anw tɛ o sidɔn, anw ba ɲini ala fɛ a ka bɔda ɲuman di anw ma!!!🙆🙆🙆",1
638,Kosobe,1
639,O ka gni,1
640,Ala ka u fanga se jamana in kɔrɔ ala k'a to jamana denw yɛrɛ dama ka ɲɔkɔn minɛ ni faso den ɲumanɲa ye!!!,1
641,Seydou Traore amina ,1
642,Amina yarabi.,1
643,Allah ko wu ke,1
644,Allah ka  mali ta ñe,1
645,San tan kuma kɛlɛn kuma kɔ tɛ a waleyali kɔ dɔ nɔtɛ bi m'an bila ka yuruguyu kuma in fɔtɔ mɛn a baara dɛ tɛ kɛ a kuma fɔ Kadi da la nka atɛ kɛ mɔgɔ si ka yɛ,1
646,ha.té.ala.ku.dé.mé,1
647,franci ka aku na kalata,-1
648,Mach Allah,1
649,O diyara an ye kosɛbɛ An ka fɔli b'a ye?,1
650,Bonne fête  mon général,1
651,an ka bén kelema,1
652,A n'a ka dakabana finiw😎😎,0
653,Vive. Général Amadou Aya Sanogo,1
654,Mali ka kan ka nafa do sainai na walassa ka dou kafa la sabati.,1
655,Séné.  Bakamaraw. Walasa. La. Mali yiriwa,1
656,Allaka Mali dèmè yarabi,1
657,WALIKAN MANFISA NI IFAKANYE,0
658,"Mali ka kan ka wasa don fɛ mi na o deye anw yɛrɛ kun ka kanw kalan niye, sabula san 60 anw bɛ wali kan kalan anw ma se ka bɔ nɔgɔ la, an ka kan ka o bila ka yɛrɛ ta lajɛ, ni o kɛra an ka kan ka bɔda sɔrɔ yen, sabula jamana si tɛse ka ta ɲɛ ni kalan ko ɲuman tɛ jamana in kɔnɔ, o sababu la anw nɔrɔlen do wali kan na san 60 anw ma se ka bɔ dinkɛ kɔnɔ an ka kan k'o bila!!!",1
659,Bara an ni clé ne ya ❤️🇲🇱💪✌️,1
660,Mali dew kakéladiriye,1
661,"Ne bolo, an ka kan k'an wasa don fasokanw na walasa an ka bɔ nɔgɔ la, sabu n'i ye jamana o jamana ye k'o yiriwalen don, e k'o jate minɛ kosɛbɛ i b'a sɔrɔ o bɛ baara kɛ a ka kan na. San 60 an bɛ tirikitɔrɔkɔ la jɔnya la ko yɛrɛmahɔrɔnya dɔwɛrɛ tɛ o fransɛkan de bɛ ka an ka ɲɛtaakunw geren. Ale mɛnnen tɛ fasojama fanba fɛ. N'i y'a ko caman bɛ ka kɛ jamanadenw t'a kala ma, u bɛ labɛn kan na kan u t'o mɛn. Fàso si tɛ se ka jɔ n'i ka kan tɛ. Fo an ka an ka kanw ta ni sɛbɛ ni barika ye. Ne hakili la n'o Kɛra, o bɛ da zana na. ",1
662,Malidenw ka kan bɛ kɛlɛ ma walasa Mali ka yiriwa 🇲🇱Mali ye an bɛ taa ye na a ɲana a ɲana a de ye. Na a ni jie na a jie a ɲɛ ye,1
663,Aw ni waati? Bamanankan nka fɔli b'i ye Ani bamanankan kanu Baa bɛɛ ye.  i ka nin barɔni lasɛli diyara n'ye kosɛbɛ.  ne kɔni fɛ ; mali ka kan ka wasadɔn fɛn damadɔ de la  O fɛn damadɔ ye jumɛn ye kuma bakurubayala n'ɔ ye Baara ye   sɛnɛ b'ɔ la  baganmara b'ɔ la mɔni b'ɔ la jagɔ b'ɔ la o n'a ɲɔgɔnna caman  ani kalankɔ fana ani laadiriya  ka jamana kanu k'a bila fɛn bɛɛ san fɛ.  ne bɔlɔ N'an ye An cɛsiri  Nin kɛwalɛ ninnuw fɛ a ka ca Ngala fɛ An ka jamana na sɛ ka bɔ nɔgɔla dɔn na taw la.  Ngala ka mali basigi ka bɛn ni kɛlɛnya ni kanu dɔn malidɛnw ni ɲɔgɔncɛ amiina yarabi!!,1
664,😭😭😭,1
665,FO.nata.ka.dabila.ka.dukojukuya.kélé.ni.o.maké.fosi.té.yé,-1
666,Rokia Diallo an ni benga mara ,1
667,Mali kakan k'a wasa don a yɛrɛ la ɲɛmɔgɔw ka hami ni Faso in ye sa ɲɛtaa b'o sela.,0
668,Vive armée Malienne,1
669,Anw ka wolomasiri ta baw an b'aw ko💖💖💖💖1,1
670,Merci ibk ,1
671,Vive la verite vive le mali èe mali attention le France iis sont là pour nous tuer,1
672,💪💪💪👍❤️❤️,1
673,Allah ka san caman jiira an n'a . Kunu Mali  bi Mali  sini Mali,1
674,"An ka yèrèma hôrôya San 60 tè  tignè ye. Yèrèma hôrôya dan na modibo keïta tele ma, bawo an ka wari tun  b'a an bolo ani an ka balow etc... Mali ka yèrèma hôrôya ma tèmè San 8 kan . bi déyé an ka jonya San 52 nan yé.  An mako bè  Mali kura de  la. Walasa ka an ka yèrèma hôrôya sôrô.   22 septembre 2020 à la place d'indépendance à 14h pour un mali nouveau. ",1
675,Amina yarabi,1
676,Walay iya ciye Fôde Yerédôn kabusa Yéré Neguema Alaka Mali jo,1
677,Amina  Yarabi,1
678,Amine bonne fête de l'indépendance du Mali,1
679,Amina ya rabbi Ala ki ka dɔwawu minɛ. Ala ka an sakɔ ka an ye,1
680,Amiina yarabi,1
681,Aw sanbe sanbe,1
682,Amina amina ,1
683,Amina yarabi,1
684,Amina lahou,1
685,Amina yâ Raby,1
687,halibi ala kan mali tanɲɛ,1
688,Amina,1
689,Bonne fête d'indépendance dans la dépendance anka ta an ga bla,1
690,Allah mali kanu dun asonkuna,1
691,Dieu merci bonne chance,1
692,Thie Diallo bien comment vous écrivez en  bambara ,0
693,Thie Diallo Amina Yarabi,0
694,Allah ka kow tɔw ɲa Yarabi,1
695,Je crois que le drapeau n'est pas installé dans la bonne direction !!!,1
696,Ala ka dayoro nema,1
697,Repose en paix,-1
698,AMINA,1
699,Alla ka hiné ala,1
700,Repose en paix,-1
701,Rip,-1
702,Allah ka yafama,-1
703,Rip,-1
704,Amina,1
705,Thino Tora ne regarde pas la position du drapeau mais regarde plutôt la position par laquelle la photo a été prise!!!!,0
706,Abdoul Aziz Mahamane Eh oui tout à fait d'accord 👌,1
707,Paix à son âme. ,-1
708,Amina yarabi,1
709,Paix a son âme,-1
710,Amine,1
711,Repose en paix mon papa,-1
712,Amina,1
713,😭😭💔,1
714,Général Ni tachi bla ka kan,-1
715,Allah ka hine la Allah ka yafaama,1
716,Que la terre lui soit légère amen.,1
717,Allah ka hine ala ani silame soubela yaraabi ,1
718,Amina,1
719,Oyana kobebilaban allá tala,0
720,Allah la hinin ala ka dohn a ka aridjinin kônon,1
721,Alla ka hina la,-1
722,Dors en paix 🙏,-1
723,Ala ka yinala ka yafakama,-1
724,Ala ka hineala,-1
725,Rip ,-1
726,Allaka yafa a ma ka hinè ala ka an mbènia ka an ta donkónó yarabi. ,-1
727,Repose en paix paix PAPA Général Allah ki dayoro suma,-1
728,😥😥😥😥😥,-1
729,Paix à son âme,-1
730,D'après lui même c'est pas nôtre acien président qui est décédé mais plutôt le putschiste qui est décédé  Tout mes condoléances aux familles.,-1
731,Cv,1
732,OK,1
733,aw ni su? bamanankan i ka sɛbɛnni kɛcɔgɔ fiɲɛn dɔɔnin b'A la. barisa kuma turula a kunka.,1
734,Ok,1
735,O ya na,1
736,ni ha ka yera bi mina ala kou latike,1
737,Eh allah ka dayôrô suman🤲😭😭,-1
738,"Aminaa,mun tun bè ala?",1
739,À la ka hinè a la,1
740,Allahu akibaru inalilahi wa inailayehi rajiuna. ,1
741,Ala ka Hine  ala,-1
742,Rip,-1
743,Tout mes condoléances à mon Président préféré,-1
744,Allah ka dayoro sunma,-1
745,Amine ,1
746,Allah ka dayôrô nèma a yan kon kiti mina Allah ko nôkôya ,1
747,Rip,-1
748,Ama dôgô ya dai abana déé Allah ka hinai,-1
749,Paix à son âme,-1
750,Rip,-1
751,"Allah ka hine ala ,ka a dayoro soumaya",-1
752,Alaka  hier à la,-1
753,Ina li lahi wa ina ilayehiradjiouna,0
754,😭😭,-1
755,Paix à son âme,-1
756,Rip 😭😭😭😭,-1
757,Rip ,-1
759,Rip,-1
760,Allah ka  hina y la touramanka chi Mali tena gnina y kôw😢,-1
761,ala kahinala,-1
762,😥😥😥😥😥,-1
763,Ngala ka hinɛ a la! K'a dayɔrɔ suma! ka mɛlɛkɛ ɲuma sigi a kunna! 😭😭😭😭😭😭,-1
764,Que  son âme  repose  en paix,-1
765,😭😭😭😭😭,-1
766,ala ka héné a la ka dayòrò sumaya,-1
767,Amina yaraby,-1
768,ala ka hine ani silamesu bééla ka yafama,-1
769,Paix à son âme,-1
770,Traore v                  rip,-1
771,Rip,-1
772,Allah Akbar Dort en paix le général,-1
773,que Dieu le protège,1
774,Paix a son ame,-1
775,"Allah ka hine ala ,ka a dayoro soumaya",-1
776,Rip 😭,-1
777,🙆🙆🙆😭😭😭😭,-1
778,D'or en paix,-1
779,Réponse en paix,-1
780,Paix à son âme,-1
781,😭,-1
782,Rip,-1
783,Paix à son âme,-1
784,amina ala ka ha uo yere ye sani anta du je ,1
785,Rip,-1
786,Paix à son âme,-1
787,Ala ka hin'a la,-1
788,mousa traore  allah ka siŋa ala,-1
789,Que  la terre  lui soit légère. Amen,-1
790,Allah ka hiné a la,-1
791,R,-1
792,Alla kahineala,-1
793,Allah  ka hina,-1
794,Rip,-1
795,Amina !,1
796,Amina,1
797,Rip😭😭😭😭,-1
798,Reposé en paix 🙏,-1
799,Allah kan dayôrô sumaya,-1
800,PAIX À SON NAME,-1
801,Amina yaraby,-1
802,RiP,-1
803,Enfin ,1
804,"Tabarikala nin ye kibaruya duman ye, cnsp maaw an ka fɔli kɛrɛnkɛrɛnnɛn b'u ye.",1
805,OK,1
806,BARIKA BE ARAHAMANI MASSAYE,1
807,Ɔyɛ jamana dɛnw bɛɛ jɔrɔ la kɔ yɛ bi nɔ bɔra yɛ balɔ kɔ ni kɛnɛya kɔ ani laa kana kɔ,-1
808,Dieu merci,1
809,Aah onyéna kosèbè,1
810,O ye kuma duma ye ala ka deme ke,1
811,Lakɔli karamɔgɔ ka lafasa ton,1
812,Ni i Ni ' iko i jogo ma ka kiy kono n'a mé n'a n'a ma iye a bé taa i nofé  Mali kanla barika bana pew ka sababuké kanla ké cogoye,1
813,Oye tien ye,1
814,Allah ka oyira an n'a,1
816,Ini tié kunafoniw n'a nka don n'i san ne m'a o famu ya,1
817,A famuyala,1
818,Allah ka an bè kélén ma,1
819,Allah Ka deme ke ,1
820,"C N S P kanana fanka bila dɛ sabu pɔlitiki mɔgɔ nununyɛ mɔgɔ tɔrɔ kɔdjuku u bɛkɔ kuka,nafa dɔrɔn u,makɔ tɛ diamana dɛn tɔw la an tufɛ bilɛ an kɔ sɔrasiw dɛ",-1
821,Ognana,1
822,Alah ka ou bin kele ma,1
825,Ne kɔni fɛ cɛmancɛ fanga ɲɛmaaya kaɲi finitigiw de bɔlɔ.,1
826,Ne ko finitigiw,1
827,A ka To finitigi bolo k'a kutaala surunyan,1
828,"Ne ce, finitigiw man kan la le ganga na",-1
829,ne koni fe aka to finitilaga kaw bolo,1
830,Ne kɔni hakilina ye faransi gwɛni ye ka bɔ an ka kɔrɔnfɛla la ani an ka bɔ CEDEAO ni G5 saheli jɛkuluw kɔnɔ. An moko bɛ mɔgɔ la mun bɛ se ka o baara kɛ an ye,1
831,Ayadi  finitigiuma,1
832,Ne bolo finitigi de kangni aala,1
833,Sorodasiw kè.,1
834,Walayi,0
835,Ne hakilinaye akakë finitiki dôye,1
836,Ne bolo finitigi de kangni walma my te politique mogoye,1
837,Finitigi,1
838,"Ne bolo a ka kan finitigiw de bolo ,ou ka jamana furan ka je ka soro ka di finitanw ma",1
839,Finitigi,1
840,Ne bolo finitigiw kangni ala,1
841,Akato fini tigiw bollo,1
842,Anw ko Fassodeen gnouman,1
843,Me finitigiw kunko de ye farifa tigi la je maxi de À la la a nogoya,1
844,Finitigiw,1
845,Anw ko finitiki ka ta ,1
846,"NƐ kɔni hakili la, a k'a kan katɔ finitigiw bɔlɔ fɔ san dɔru 5",1
847,Borodian Coulibaly I ka kuma ye tiɲɛ ye nbalima kɛ ,1
848,nebolo akadi finitama pasige ni amaye finitabolo finitikiwo bisekaboye nadoudira finitikimadou ni amaye dio debina u louboye,1
849,finitigiw katofanga ɲɛmaayala nɛ koni fɛ,1
850,Finitigiw ,1
851,Finitigi,1
852,Finitiw,1
853,Finitigiw,1
854,F I N I T I G I W,1
855,Akadi fini tigiw ma koi. ,1
856,Ne bolo finitigi de Kangni  aala,1
857,Finitiki,1
858,Ne ko finitigiw,1
859,Awó finitigiw kadi ne ye kosèbè.,1
860,Finitigiw  foo san 2,1
861,Finitigiw,1
862,Boy,-1
863,Ne bolo ou ka djèn ka baara kè gnongon fè nga finitigui kelén ka kè gnèmogô yé,1
864,aw ni cɛ aw ni baara ,1
865,Ne hakilila finitigiw de ka kɛ cɛmancɛ fanga ɲɛmaye walima mɔgɔ dɔ min tɛ politigui mɔgɔ ye,1
866,Ô,-1
867,Borodian Coulibaly  Ô fana ye ne ka hakilinan yé. ,1
868,Ne ko à bEE ka kE finitigiw ye,1
869,c n s p kanana fanka bila dƐ sabu pƆlitiki mƆgƆ nununyƐ mƆgƆ tɔrɔ kɔdjuku u si tɛ mali fɛ,-1
870,Ne ko finitiguiw,1
871,Fanitigui,1
872,finitigiw,1
873,Finitigiw,1
874,Finitigiw sansaba,1
875,ni eye ne yinika  fanga kato sorodasi bolo  ,1
877,"Alah ka an bé saba'bama  an kahéérbé mibolo ala ka nôgôya o,ye",1
878,"Aw ye tuɲɛ fɔ, nka aw kana ɲinɛ ka fɔ ko m5 fara fara lendo, sabula Olu yɛrɛ tɛ Faso kanu naw ye wa taɲinina de ka can ye, n'a fɔra an tuɲɛ fɔ bi sɔrɔdasiw de kaɲi fanga la bi Mali la ka tɛmɛ mɔkɔ wɛrɛw kan, ka da kan niye m5 mɔgɔw bila fanga la manga minu wulila oɲɔkɔna kelen de bina wili tuguni wa ni Olu fana tina sɔn o ma",0
879,Abon e ye m5 deme bakaye WA ayala mogo minu bora kunu wolu mankaka hakilila jira WA ??,0
880,Ninfila tigiw do. Olu daganna jamakola ,1
881,"Walaye oyé tiniè ye ,danbe tè annan  tuguni",-1
882,Ne kun hakilila ko aw ye kunafoni di de ye nga ne kun tadon ko aw taye fan koye,-1
883,Bamanankan sê bée baga E be Mali ko lawa walima E be M5 kola,1
884,Amidou Traore yala ne ye min fɔ tuɲa tɛ wa? ,-1
885,"Mohamed Konate Olu de tun bɛ mankan ci la, nka su ni dugu jɛ cɛ , u yɛlɛmɛna. Olu t'a tɛ Maliko ye, olu t'a ye yɛrɛko de ye. ",1
886,Amidou Traore ,-1
887,Niye fèrè kura deye ubolo ka mogow farafara inafo utuyakè tiokomina ibk tilela,-1
888,Hahaha,-1
889,"O yɔrɔ la ne tɛ i kɔ Bamanankan  sabula aw bɛ ye maliden ye, e tɛ se ka fɔ ki bɛ dɔ lagosi ka dakan e hakilina no ta tɛ kelen ye. An ka ɲɔgɔn bogna ka ɲɔgɔn mago to. An bɛ hakilina kan ka kɛ Mali de ye, ko gurupu ko ni kungolo ko bɔ ala.",-1
890,"Tiɲɛ yɛrɛ la, nafa tɛ i ka ni kuma ye fɔlen na. E ka ni kuma nunu ba jira ko e bɛ gurupu ko la, walima mɔgɔ ko la. ",-1
891,"Mamadou Coulibaly I b'a sɔrɔ e ma kɔrɔfɔ famu de. Maa si ma lagosi yan. Kuman kun ye k'a jira ko maa caman ka mankan ci tun tɛ IBK ko walima Maliko ye, olu ta tun ye yɛrɛko de ye. IBK taara dɔrɔn u yɛlɛmɛna, an ka kuman bɛ o de kan. ",-1
892,"Ne ye kɔrɔfɔ ye faamu kosɛbɛ. Ni IBK kɔkɔrɔdonbaganw tugura sorodasiw ka hakilina kɔ, o tɛ kojugu ye, o tɛ se ka jira ko u yɛlɛmana. M5-RFP mɔgɔ caman fana kɛlɛ tun tɛ Mali ko ye inafɔ IBK mɔgɔw. An ka jamana jɔ cogo ni kunnafoni ɲuman ta ka fɔ inafɔ a tun bɛ kɛ cogoya min na, o ka fusa lagosi ye ",-1
893,Bamanankan i ye tunia fô,1
894,Kabako,-1
895,"Fosi Kana bali an n'a maliko la. Man ni mèn o ye tignè ye, nka ni te kè, o ye galon ye.",-1
896,"Bamananw ko : N'tabɛnn'kɔnɔ ni maà wɛrɛ tɛ́ ko kɛ́ ɲɔgɔn yé !  An bɛ́ ɲɔgɔnna tɛ́ kɛ̀lɛban kan yé . Ni maliko dòn , Munna Kɛ̀lɛ̀kɛ̀law má Maliden tɔ̀w wele , k'a f'u ye ko : buwa taara màliko dòn , A'  bɛɛ ka nà , An ka malikura sigi sènkàn . k'à dɔn Jɔ́n ni Mali ɲɛmɔgɔya ka kan sisan ?   N'a kɛra màrifa cir'anw dè lá yé . Gɔ̀lɛ ni mugujugu bɛ́ ka ci ( cnsp ) finitigiw lá Sän jòli sisan ? Ò lu ká to fanga lá , ni sàya ni sɛ̀gɛn dòn .  N'a kɛra ni min yé kɛ̀lɛ̀ kɛ́ kà  ɲɛmaa wuli  Ò k'i sigi fanga la yé . Ò y'a kɛlen ye jaagoyafanga yé .  A' yé ( Sabali ) An ká Maliko ɲɛɲinin ji ɲɛmajɔ̀lenna , An Yanfa ɲinin ɲɔgɔn fɛ̀ , kà dɛ̀mɛ̀n Jamana màràli lá , n'o tɛ́ , nin kɛ́ cogo n'a fɔ́ cogo t'a ɲɛnabɔ dɛɛ !!!  Alá k'an sababu ɲuman bɛ̀n . Amiina !",1
897,Anga ta dron,1
898,Aw ni waati? nka fɔli bɛ Bamanankan kanu bagaw bɛɛ ye.  Bamanankan ne kɔni fɛ kuma ɲɛnan kosɛbɛ ; barisa ne ma fiɲɛn ye kuma la.   Nka kuma ni fili tɛ ban k'a sababu kɛ ni dɔw ka faamuyali kɛcɔgɔ ye.        i mana kuma cɔgɔ o cɔgɔ la  i kuma tɛ na se ka taa maa bɛɛ min sira fɛ. Kuma k'a gɛlɛn in'a fɔ  a ka nɔgɔ.,1
899,Eye min fô tan do ate wili,1
900,Aw ni tile aw ni wula bamanankan mɔgɔw ka bini Politiki koin daminɛ na nema nko fɔ Ala fɔlɔ dɛɛ. Nka nbinamifɔ O deye M5_RFP wO CNSP wo ni miye mikɛ O ye olu kun ko de ye an bɛ nana Mali sɔrɔ yan kuma caman fuu tifoyiɲɛ minnu bɛ manamanakan bila la anw tɛ yan Olu kama anw bɛ yan faso de kama nehakilila Bamanankan groupe kunnafoniw sɔrɔ jɛlen deye n madon ko la gosi yɔrɔ do: 🏃Ala ka 'nfaso kisi 👏👏,1
901,Foye ni tien té keleyen !  Kouma nièna,1
902,Otouma ni ibk bina yali oye mali kobaneyewa ?=,-1
903,Awo e ko mun o la sisan?,-1
904,Walahi dɛ!,-1
905,Ow tetiyeyi aw bi Mali kolela armée Mali bravo bravo,1
906,Haatɛ  I ka kuma ye tiɲɛ ye !! ,1
907,Bamananka a ya to an ka dô mèn M5 ta ye mali ye wa?,-1
908,allah ka Mali daime,1
909,né ko ni ibaféka Bamanankan sikinidesebe iKa téléphone na abêkedi,0
910,Allah akibarou dieu merci,1
911,Fo ten,1
912,🤣🤣🤣👏👏👏🇲🇱🇲🇱❤️❤️❤️,1
913,"Papapapapa tién yeré yeré la, marifatigui sébé donedo allahou Akbar tchéeeeee 🤔🤔🤔🤔",1
914,Allah akibarou,1
915,Hahahha  Adan do 😀😀😀👏👏👏👏 ,1
917,C'est normal,1
923,CEDAO Tatè Mali ye fiyewu. ,1
927,Vive l'armée Malienne,1
954,C'est normal,1
960,Nema afamun kosèbè,1
964,Paix à leurs âmes,-1
966,Paix à son âme que la terre he soit légère Amen,-1
967,Paix à leurs âme,-1
969,Paix à son âme,-1
971,"Je sais  a quel point les  Maliens  et Maliennes  sont toucher . Vos  soeurs  ,vos frères,vos   parents,vos voisins . Même si ces  derniers  temps vous vous êtes perdu de vue. Tout mes condoléances  .",-1
972,Que son âme reposé en paix,-1
973,Rip,-1
978,Que leurs âmes reposent en paix. Amen !,-1
979,Rip,-1
1005,Deux chien tué au Nord du mali ,1
1007,Voici les territoires du Mali,1
1008,Bien fait,1
1013,"Les chercheurs d'or, vous allez tous mourir la bas. A ba la France.",1
1018,C BIEN,1
1022,Si c'est vrai Que leurs âmes repose dans l'enfer,1
1025,Rip ,-1
1026,Bon voyage San retour ,1
1027,"Rip, il veut fuir tout simplement, pourquoi il peut pas se soigner au Mali parce que il s'en foutait des hôpitaux pendant 7ans maintenant il a compris que vraiment ça va pas chez nous",-1
1028,Allah ka noyake,1
1030,Allah ka nokoyake,1
1031,Que dieu te protéger ,1
1034,Tu vas payer dieu ne dors pas,-1
1036,Bonne santé,1
1043,"Monsieur , un conseil, il vaut écrire en Français.",0
1053,"Ko Français, tu n'as pas vu le nom de la page?  Le mieux serait de te désabonner madame.",-1
1054,CMA wa ?? A kɛra ne kônô ko CMA maw ko ko oluw tɛ se ka kɛnɛ la sɔrɔ bi.  Yala o kuma yin tɛ tuɲɛ ye de?,1
1064,"ll faut apprendre ta vrais langue,si vous êtes une vrais Coulibaly c'est mieux pour toi ma soeur, sab, duya té to bolokelen kan🙏",1
1067,Il est pour l'indépendance linguistique 😎,1
1068,J'aime bien cette culture même si je n'arrive pas lire kmm bon courage a vous,1
1070,Amina,1
1101,Merci ! Et du courage pour le bambara,1
1103,Merci  ,1
1107,Bon courages toujour  l'armèe malienne,1
1108,🇲🇱🇲🇱🇲🇱🇲🇱☝️,1
1109,Vive larme malienne,1
